1.000000-5  0.000000+0 0.000000+0                                            
 9.830000+5  4.170300-1 1.145300-1 1.559800-2 0.000000+0                      
 9.860000+5  4.313100-1 1.186700-1 4.922000-3 0.000000+0                      
 9.890000+5  4.135300-1 1.118700-1 9.355000-3 0.000000+0                      
 9.900000+5  4.050000-1 1.153900-1 4.906400-3 0.000000+0                      
 9.980000+5  3.681300-1 8.850600-2 7.402600-3 0.000000+0                      
 1.007000+6  3.265600-1 6.752100-2 1.315900-2 0.000000+0                      
 1.009000+6  3.152600-1 6.152900-2 1.975900-2 0.000000+0                      
 1.013000+6  3.060900-1 5.554000-2-5.851100-3 0.000000+0                      
 1.020000+6  3.333000-1 6.347700-2 1.420500-2 0.000000+0                      
 1.022000+6  3.309500-1 6.769700-2 6.649800-3 0.000000+0                      
 1.027000+6  3.502600-1 8.515800-2 9.741400-3 0.000000+0                      
 1.028000+6  3.597900-1 9.120900-2 1.729900-2 0.000000+0                      
 1.031000+6  3.596700-1 9.234100-2 5.986100-3 0.000000+0                      
 1.032000+6  3.718100-1 9.424900-2 1.386600-2 0.000000+0                      
 1.045000+6  2.958500-1 1.026900-1 1.103300-2 0.000000+0                      
 1.062000+6  2.405700-1 1.805900-1 3.531100-2 0.000000+0                      
 1.080000+6  2.942900-1 1.962600-1 4.533700-2 0.000000+0                      
 1.096000+6  3.935500-1 1.551400-1 4.165900-2 0.000000+0                      
 1.100000+6  3.925900-1 1.509900-1 3.999400-2 0.000000+0                      
 1.113000+6  4.147800-1 1.308800-1 3.810900-2 0.000000+0                      
 1.114000+6  4.065900-1 1.261100-1 3.776900-2 0.000000+0                      
 1.115000+6  4.053700-1 1.232100-1 4.230200-2 0.000000+0                      
 1.117000+6  4.255600-1 1.318300-1 3.947200-2 0.000000+0                      
 1.119000+6  4.235500-1 1.262200-1 3.612100-2 0.000000+0                      
 1.120000+6  4.246400-1 1.249100-1 4.281900-2 0.000000+0                      
 1.121000+6  4.232600-1 1.247200-1 3.873200-2 0.000000+0                      
 1.124000+6  4.169600-1 1.181400-1 3.025300-2 0.000000+0                      
 1.126000+6  4.140700-1 1.091200-1 2.084700-2 0.000000+0                      
 1.130000+6  4.185800-1 1.179000-1 1.877200-2 0.000000+0                      
 1.134000+6  4.224300-1 1.214400-1 3.093100-2 0.000000+0                      
 1.138000+6  4.136300-1 1.320600-1 3.265200-2 0.000000+0                      
